DOCUMENTO;CODIGO_PRODUCTO;PRECIO_UNITARIO;CANTIDAD;TOTAL;COSTO_UNITARIO
FAC0038547;PLT0034;11917;7;83419;7010
FAC0038548;PLT0025;25473;3;76419;14984
FAC0038549;PLT0015;22206;3;66618;13062
FAC0038550;PLT0008;27709;1;27709;16299
FAC0038551;PLT0009;22639;4;90556;13317
FAC0038552;PLT0035;13674;10;136740;8044
FAC0038553;PLT0031;11454;2;22908;6738
FAC0038554;PLT0032;10479;5;52395;6164
FAC0038555;PLT0037;20147;3;60441;11851
FAC0038556;PLT0006;24613;9;221517;14478
FAC0038557;PLT0042;28508;3;85524;16769
FAC0038558;PLT0036;27243;2;54486;16025
FAC0038559;PLT0038;27071;6;162426;15924
FAC0038560;PLT0031;11454;6;68724;6738
FAC0038561;PLT0041;18897;5;94485;11116
FAC0038562;PLT0009;22639;8;181112;13317
FAC0038563;PLT0012;9483;5;47415;5578
FAC0038564;PLT0037;20147;4;80588;11851
FAC0038565;PLT0039;6179;9;55611;3635
FAC0038566;PLT0039;6179;6;37074;3635
FAC0038567;PLT0030;21117;10;211170;12422
FAC0038568;PLT0027;22873;1;22873;13455
FAC0038569;PLT0009;22639;5;113195;13317
FAC0038570;PLT0012;9483;4;37932;5578
FAC0038571;PLT0035;13674;4;54696;8044
FAC0038572;PLT0032;10479;2;20958;6164
FAC0038573;PLT0002;16035;2;32070;9432
FAC0038574;PLT0043;14334;2;28668;8432
FAC0038575;PLT0039;6179;4;24716;3635
FAC0038576;PLT0010;7946;7;55622;4674
FAC0038577;PLT0027;22873;7;160111;13455
FAC0038578;PLT0011;25298;1;25298;14881
FAC0038579;PLT0011;25298;4;101192;14881
FAC0038580;PLT0002;16035;8;128280;9432
FAC0038581;PLT0018;21805;3;65415;12826
FAC0038582;PLT0024;6170;3;18510;3629
FAC0038583;PLT0003;25406;7;177842;14945
FAC0038584;PLT0006;24613;7;172291;14478
FAC0038585;PLT0025;25473;3;76419;14984
FAC0038586;PLT0024;6170;1;6170;3629
FAC0038587;PLT0008;27709;10;277090;16299
FAC0038588;PLT0033;21097;5;105485;12410
FAC0038589;PLT0040;24668;4;98672;14511
FAC0038590;PLT0023;29003;3;87009;17061
FAC0038591;PLT0028;8448;2;16896;4969
FAC0038592;PLT0047;26583;7;186081;15637
FAC0038593;PLT0028;8448;9;76032;4969
FAC0038594;PLT0027;22873;6;137238;13455
FAC0038595;PLT0033;21097;8;168776;12410
FAC0038596;PLT0027;22873;3;68619;13455
FAC0038597;PLT0007;20343;6;122058;11966
FAC0038598;PLT0043;14334;1;14334;8432
FAC0038599;PLT0045;34710;8;277680;20418
FAC0038600;PLT0044;10146;4;40584;5968
FAC0038601;PLT0013;16922;2;33844;9954
FAC0038602;PLT0005;34187;4;136748;20110
FAC0038603;PLT0039;6179;6;37074;3635
FAC0038604;PLT0013;16922;6;101532;9954
FAC0038605;PLT0002;16035;6;96210;9432
FAC0038606;PLT0033;21097;10;210970;12410
FAC0038607;PLT0005;34187;6;205122;20110
FAC0038608;PLT0019;21410;1;21410;12594
FAC0038609;PLT0001;10201;9;91809;6001
FAC0038610;PLT0004;19506;4;78024;11474
FAC0038611;PLT0031;11454;6;68724;6738
FAC0038612;PLT0005;34187;9;307683;20110
FAC0038613;PLT0006;24613;8;196904;14478
FAC0038614;PLT0013;16922;1;16922;9954
FAC0038615;PLT0039;6179;9;55611;3635
FAC0038616;PLT0022;28111;3;84333;16536
FAC0038617;PLT0041;18897;1;18897;11116
FAC0038618;PLT0005;34187;9;307683;20110
FAC0038619;PLT0012;9483;7;66381;5578
FAC0038620;PLT0024;6170;3;18510;3629
FAC0038621;PLT0004;19506;2;39012;11474
FAC0038622;PLT0011;25298;3;75894;14881
FAC0038623;PLT0021;21859;4;87436;12858
FAC0038624;PLT0012;9483;8;75864;5578
FAC0038625;PLT0012;9483;1;9483;5578
FAC0038626;PLT0020;32766;1;32766;19274
FAC0038627;PLT0012;9483;9;85347;5578
FAC0038628;PLT0037;20147;10;201470;11851
FAC0038629;PLT0038;27071;2;54142;15924
FAC0038630;PLT0017;33597;1;33597;19763
FAC0038631;PLT0040;24668;2;49336;14511
FAC0038632;PLT0030;21117;8;168936;12422
FAC0038633;PLT0003;25406;4;101624;14945
FAC0038634;PLT0033;21097;6;126582;12410
FAC0038635;PLT0002;16035;3;48105;9432
FAC0038636;PLT0026;9446;5;47230;5556
FAC0038637;PLT0042;28508;1;28508;16769
FAC0038638;PLT0028;8448;6;50688;4969
FAC0038639;PLT0021;21859;2;43718;12858
FAC0038640;PLT0037;20147;7;141029;11851
FAC0038641;PLT0011;25298;8;202384;14881
FAC0038642;PLT0010;7946;1;7946;4674
FAC0038643;PLT0025;25473;9;229257;14984
FAC0038644;PLT0044;10146;3;30438;5968
FAC0038645;PLT0028;8448;3;25344;4969
FAC0038646;PLT0003;25406;1;25406;14945
FAC0038647;PLT0022;28111;5;140555;16536
FAC0038648;PLT0033;21097;4;84388;12410
FAC0038649;PLT0033;21097;1;21097;12410
FAC0038650;PLT0014;5638;2;11276;3316
FAC0038651;PLT0047;26583;5;132915;15637
FAC0038652;PLT0036;27243;10;272430;16025
FAC0038653;PLT0025;25473;6;152838;14984
FAC0038654;PLT0029;16136;4;64544;9492
FAC0038655;PLT0020;32766;8;262128;19274
FAC0038656;PLT0012;9483;5;47415;5578
FAC0038657;PLT0004;19506;6;117036;11474
FAC0038658;PLT0028;8448;6;50688;4969
FAC0038659;PLT0040;24668;2;49336;14511
FAC0038660;PLT0006;24613;7;172291;14478
FAC0038661;PLT0001;10201;9;91809;6001
FAC0038662;PLT0043;14334;3;43002;8432
FAC0038663;PLT0027;22873;3;68619;13455
FAC0038664;PLT0016;17636;2;35272;10374
FAC0038665;PLT0030;21117;1;21117;12422
FAC0038666;PLT0032;10479;9;94311;6164
FAC0038667;PLT0045;34710;7;242970;20418
FAC0038668;PLT0005;34187;1;34187;20110
FAC0038669;PLT0046;34804;8;278432;20473
FAC0038670;PLT0036;27243;7;190701;16025
FAC0038671;PLT0025;25473;4;101892;14984
FAC0038672;PLT0033;21097;10;210970;12410
FAC0038673;PLT0047;26583;4;106332;15637
FAC0038674;PLT0010;7946;9;71514;4674
FAC0038675;PLT0001;10201;1;10201;6001
FAC0038676;PLT0031;11454;8;91632;6738
FAC0038677;PLT0035;13674;2;27348;8044
FAC0038678;PLT0024;6170;6;37020;3629
FAC0038679;PLT0035;13674;4;54696;8044
FAC0038680;PLT0034;11917;5;59585;7010
FAC0038681;PLT0010;7946;9;71514;4674
FAC0038682;PLT0010;7946;2;15892;4674
FAC0038683;PLT0044;10146;9;91314;5968
FAC0038684;PLT0001;10201;8;81608;6001
FAC0038685;PLT0027;22873;5;114365;13455
FAC0038686;PLT0004;19506;10;195060;11474
FAC0038687;PLT0019;21410;8;171280;12594
FAC0038688;PLT0020;32766;5;163830;19274
FAC0038689;PLT0025;25473;7;178311;14984
FAC0038690;PLT0024;6170;1;6170;3629
FAC0038691;PLT0031;11454;2;22908;6738
FAC0038692;PLT0015;22206;8;177648;13062
FAC0038693;PLT0024;6170;1;6170;3629
FAC0038694;PLT0013;16922;5;84610;9954
FAC0038695;PLT0042;28508;9;256572;16769
FAC0038696;PLT0028;8448;7;59136;4969
FAC0038697;PLT0034;11917;2;23834;7010
FAC0038698;PLT0031;11454;1;11454;6738
FAC0038699;PLT0041;18897;9;170073;11116
FAC0038700;PLT0033;21097;5;105485;12410
FAC0038701;PLT0005;34187;9;307683;20110
FAC0038702;PLT0015;22206;6;133236;13062
FAC0038703;PLT0008;27709;8;221672;16299
FAC0038704;PLT0018;21805;9;196245;12826
FAC0038705;PLT0022;28111;5;140555;16536
FAC0038706;PLT0002;16035;8;128280;9432
FAC0038707;PLT0038;27071;8;216568;15924
FAC0038708;PLT0039;6179;6;37074;3635
FAC0038709;PLT0024;6170;7;43190;3629
FAC0038710;PLT0012;9483;10;94830;5578
FAC0038711;PLT0029;16136;7;112952;9492
FAC0038712;PLT0027;22873;4;91492;13455
FAC0038713;PLT0022;28111;5;140555;16536
FAC0038714;PLT0012;9483;8;75864;5578
FAC0038715;PLT0037;20147;5;100735;11851
FAC0038716;PLT0044;10146;5;50730;5968
FAC0038717;PLT0026;9446;3;28338;5556
FAC0038718;PLT0011;25298;5;126490;14881
FAC0038719;PLT0039;6179;4;24716;3635
FAC0038720;PLT0020;32766;4;131064;19274
FAC0038721;PLT0026;9446;1;9446;5556
FAC0038722;PLT0045;34710;9;312390;20418
FAC0038723;PLT0042;28508;10;285080;16769
FAC0038724;PLT0045;34710;9;312390;20418
FAC0038725;PLT0032;10479;6;62874;6164
FAC0038726;PLT0015;22206;2;44412;13062
FAC0038727;PLT0025;25473;5;127365;14984
FAC0038728;PLT0039;6179;6;37074;3635
FAC0038729;PLT0001;10201;7;71407;6001
FAC0038730;PLT0043;14334;10;143340;8432
FAC0038731;PLT0032;10479;8;83832;6164
FAC0038732;PLT0046;34804;9;313236;20473
FAC0038733;PLT0042;28508;10;285080;16769
FAC0038734;PLT0006;24613;4;98452;14478
FAC0038735;PLT0017;33597;5;167985;19763
FAC0038736;PLT0016;17636;6;105816;10374
FAC0038737;PLT0029;16136;1;16136;9492
FAC0038738;PLT0001;10201;4;40804;6001
FAC0038739;PLT0032;10479;2;20958;6164
FAC0038740;PLT0022;28111;6;168666;16536
FAC0038741;PLT0007;20343;7;142401;11966
FAC0038742;PLT0014;5638;9;50742;3316
FAC0038743;PLT0017;33597;2;67194;19763
FAC0038744;PLT0016;17636;8;141088;10374
FAC0038745;PLT0029;16136;1;16136;9492
FAC0038746;PLT0011;25298;9;227682;14881
FAC0038747;PLT0043;14334;7;100338;8432
FAC0038748;PLT0029;16136;1;16136;9492
FAC0038749;PLT0043;14334;5;71670;8432
FAC0038750;PLT0001;10201;1;10201;6001
FAC0038751;PLT0014;5638;5;28190;3316
FAC0038752;PLT0046;34804;6;208824;20473
FAC0038753;PLT0030;21117;8;168936;12422
FAC0038754;PLT0005;34187;9;307683;20110
FAC0038755;PLT0027;22873;4;91492;13455
FAC0038756;PLT0032;10479;4;41916;6164
FAC0038757;PLT0042;28508;8;228064;16769
FAC0038758;PLT0039;6179;6;37074;3635
FAC0038759;PLT0012;9483;8;75864;5578
FAC0038760;PLT0011;25298;9;227682;14881
FAC0038761;PLT0041;18897;8;151176;11116
FAC0038762;PLT0031;11454;5;57270;6738
FAC0038763;PLT0046;34804;2;69608;20473
FAC0038764;PLT0039;6179;10;61790;3635
FAC0038765;PLT0035;13674;7;95718;8044
FAC0038766;PLT0016;17636;6;105816;10374
FAC0038767;PLT0038;27071;10;270710;15924
FAC0038768;PLT0010;7946;4;31784;4674
FAC0038769;PLT0019;21410;9;192690;12594
FAC0038770;PLT0025;25473;8;203784;14984
FAC0038771;PLT0011;25298;1;25298;14881
FAC0038772;PLT0035;13674;9;123066;8044
FAC0038773;PLT0012;9483;7;66381;5578
FAC0038774;PLT0013;16922;2;33844;9954
FAC0038775;PLT0010;7946;7;55622;4674
FAC0038776;PLT0047;26583;9;239247;15637
FAC0038777;PLT0022;28111;9;252999;16536
FAC0038778;PLT0035;13674;7;95718;8044
FAC0038779;PLT0041;18897;5;94485;11116
FAC0038780;PLT0037;20147;6;120882;11851
FAC0038781;PLT0023;29003;8;232024;17061
FAC0038782;PLT0038;27071;2;54142;15924
FAC0038783;PLT0028;8448;8;67584;4969
FAC0038784;PLT0031;11454;1;11454;6738
FAC0038785;PLT0010;7946;3;23838;4674
FAC0038786;PLT0023;29003;10;290030;17061
FAC0038787;PLT0027;22873;5;114365;13455
FAC0038788;PLT0018;21805;4;87220;12826
FAC0038789;PLT0018;21805;9;196245;12826
FAC0038790;PLT0008;27709;8;221672;16299
FAC0038791;PLT0021;21859;9;196731;12858
FAC0038792;PLT0016;17636;1;17636;10374
FAC0038793;PLT0016;17636;4;70544;10374
FAC0038794;PLT0025;25473;2;50946;14984
FAC0038795;PLT0023;29003;8;232024;17061
FAC0038796;PLT0045;34710;5;173550;20418
FAC0038797;PLT0006;24613;9;221517;14478
FAC0038798;PLT0019;21410;2;42820;12594
FAC0038799;PLT0005;34187;7;239309;20110
FAC0038800;PLT0013;16922;9;152298;9954
FAC0038801;PLT0011;25298;1;25298;14881
FAC0038802;PLT0004;19506;4;78024;11474
FAC0038803;PLT0013;16922;5;84610;9954
FAC0038804;PLT0028;8448;1;8448;4969
FAC0038805;PLT0037;20147;2;40294;11851
FAC0038806;PLT0036;27243;6;163458;16025
FAC0038807;PLT0024;6170;7;43190;3629
FAC0038808;PLT0008;27709;8;221672;16299
FAC0038809;PLT0029;16136;2;32272;9492
FAC0038810;PLT0040;24668;10;246680;14511
FAC0038811;PLT0007;20343;7;142401;11966
FAC0038812;PLT0002;16035;2;32070;9432
FAC0038813;PLT0008;27709;2;55418;16299
FAC0038814;PLT0012;9483;1;9483;5578
FAC0038815;PLT0014;5638;4;22552;3316
FAC0038816;PLT0010;7946;1;7946;4674
FAC0038817;PLT0031;11454;4;45816;6738
FAC0038818;PLT0009;22639;6;135834;13317
FAC0038819;PLT0005;34187;6;205122;20110
FAC0038820;PLT0045;34710;9;312390;20418
FAC0038821;PLT0024;6170;2;12340;3629
FAC0038822;PLT0019;21410;9;192690;12594
FAC0038823;PLT0022;28111;7;196777;16536
FAC0038824;PLT0019;21410;2;42820;12594
FAC0038825;PLT0035;13674;7;95718;8044
FAC0038826;PLT0028;8448;6;50688;4969
FAC0038827;PLT0014;5638;3;16914;3316
FAC0038828;PLT0014;5638;8;45104;3316
FAC0038829;PLT0033;21097;1;21097;12410
FAC0038830;PLT0044;10146;3;30438;5968
FAC0038831;PLT0030;21117;8;168936;12422
FAC0038832;PLT0037;20147;8;161176;11851
FAC0038833;PLT0007;20343;4;81372;11966
FAC0038834;PLT0012;9483;10;94830;5578
FAC0038835;PLT0003;25406;8;203248;14945
FAC0038836;PLT0011;25298;8;202384;14881
FAC0038837;PLT0038;27071;2;54142;15924
FAC0038838;PLT0018;21805;2;43610;12826
FAC0038839;PLT0015;22206;9;199854;13062
FAC0038840;PLT0009;22639;8;181112;13317
FAC0038841;PLT0042;28508;6;171048;16769
FAC0038842;PLT0010;7946;10;79460;4674
FAC0038843;PLT0015;22206;8;177648;13062
FAC0038844;PLT0016;17636;3;52908;10374
FAC0038845;PLT0030;21117;6;126702;12422
FAC0038846;PLT0006;24613;10;246130;14478
FAC0038847;PLT0040;24668;9;222012;14511
FAC0038848;PLT0027;22873;5;114365;13455
FAC0038849;PLT0044;10146;3;30438;5968
FAC0038850;PLT0038;27071;9;243639;15924
FAC0038851;PLT0010;7946;2;15892;4674
FAC0038852;PLT0023;29003;5;145015;17061
FAC0038853;PLT0047;26583;2;53166;15637
FAC0038854;PLT0029;16136;6;96816;9492
FAC0038855;PLT0039;6179;10;61790;3635
FAC0038856;PLT0040;24668;4;98672;14511
FAC0038857;PLT0040;24668;5;123340;14511
FAC0038858;PLT0021;21859;8;174872;12858
FAC0038859;PLT0045;34710;1;34710;20418
FAC0038860;PLT0030;21117;3;63351;12422
FAC0038861;PLT0025;25473;2;50946;14984
FAC0038862;PLT0028;8448;8;67584;4969
FAC0038863;PLT0028;8448;9;76032;4969
FAC0038864;PLT0045;34710;2;69420;20418
FAC0038865;PLT0034;11917;3;35751;7010
FAC0038866;PLT0039;6179;4;24716;3635
FAC0038867;PLT0032;10479;5;52395;6164
FAC0038868;PLT0046;34804;5;174020;20473
FAC0038869;PLT0003;25406;2;50812;14945
FAC0038870;PLT0019;21410;6;128460;12594
FAC0038871;PLT0005;34187;4;136748;20110
FAC0038872;PLT0024;6170;8;49360;3629
FAC0038873;PLT0012;9483;10;94830;5578
FAC0038874;PLT0008;27709;9;249381;16299
FAC0038875;PLT0009;22639;4;90556;13317
FAC0038876;PLT0047;26583;8;212664;15637
FAC0038877;PLT0022;28111;10;281110;16536
FAC0038878;PLT0014;5638;1;5638;3316
FAC0038879;PLT0024;6170;6;37020;3629
FAC0038880;PLT0014;5638;9;50742;3316
FAC0038881;PLT0021;21859;10;218590;12858
FAC0038882;PLT0041;18897;10;188970;11116
FAC0038883;PLT0001;10201;7;71407;6001
FAC0038884;PLT0005;34187;10;341870;20110
FAC0038885;PLT0018;21805;4;87220;12826
FAC0038886;PLT0001;10201;5;51005;6001
FAC0038887;PLT0023;29003;8;232024;17061
FAC0038888;PLT0016;17636;8;141088;10374
FAC0038889;PLT0041;18897;8;151176;11116
FAC0038890;PLT0016;17636;10;176360;10374
FAC0038891;PLT0020;32766;5;163830;19274
FAC0038892;PLT0044;10146;6;60876;5968
FAC0038893;PLT0022;28111;1;28111;16536
FAC0038894;PLT0038;27071;6;162426;15924
FAC0038895;PLT0008;27709;2;55418;16299
FAC0038896;PLT0003;25406;1;25406;14945
FAC0038897;PLT0027;22873;2;45746;13455
FAC0038898;PLT0008;27709;5;138545;16299
FAC0038899;PLT0019;21410;5;107050;12594
FAC0038900;PLT0044;10146;4;40584;5968
FAC0038901;PLT0031;11454;10;114540;6738
FAC0038902;PLT0015;22206;4;88824;13062
FAC0038903;PLT0046;34804;5;174020;20473
FAC0038904;PLT0022;28111;2;56222;16536
FAC0038905;PLT0019;21410;4;85640;12594
FAC0038906;PLT0023;29003;3;87009;17061
FAC0038907;PLT0006;24613;8;196904;14478
FAC0038908;PLT0022;28111;9;252999;16536
FAC0038909;PLT0040;24668;6;148008;14511
FAC0038910;PLT0044;10146;4;40584;5968
FAC0038911;PLT0001;10201;2;20402;6001
FAC0038912;PLT0020;32766;2;65532;19274
FAC0038913;PLT0010;7946;3;23838;4674
FAC0038914;PLT0045;34710;1;34710;20418
FAC0038915;PLT0026;9446;4;37784;5556
FAC0038916;PLT0040;24668;4;98672;14511
FAC0038917;PLT0008;27709;8;221672;16299
FAC0038918;PLT0035;13674;9;123066;8044
FAC0038919;PLT0046;34804;5;174020;20473
FAC0038920;PLT0011;25298;6;151788;14881
FAC0038921;PLT0028;8448;9;76032;4969
FAC0038922;PLT0037;20147;5;100735;11851
FAC0038923;PLT0008;27709;3;83127;16299
FAC0038924;PLT0040;24668;5;123340;14511
FAC0038925;PLT0034;11917;3;35751;7010
FAC0038926;PLT0045;34710;9;312390;20418
FAC0038927;PLT0011;25298;9;227682;14881
FAC0038928;PLT0022;28111;9;252999;16536
FAC0038929;PLT0035;13674;10;136740;8044
FAC0038930;PLT0044;10146;1;10146;5968
FAC0038931;PLT0036;27243;8;217944;16025
FAC0038932;PLT0010;7946;6;47676;4674
FAC0038933;PLT0038;27071;8;216568;15924
FAC0038934;PLT0013;16922;8;135376;9954
FAC0038935;PLT0027;22873;10;228730;13455
FAC0038936;PLT0005;34187;4;136748;20110
FAC0038937;PLT0010;7946;1;7946;4674
FAC0038938;PLT0034;11917;6;71502;7010
FAC0038939;PLT0020;32766;1;32766;19274
FAC0038940;PLT0009;22639;1;22639;13317
FAC0038941;PLT0034;11917;6;71502;7010
FAC0038942;PLT0015;22206;1;22206;13062
FAC0038943;PLT0030;21117;6;126702;12422
FAC0038944;PLT0009;22639;4;90556;13317
FAC0038945;PLT0019;21410;3;64230;12594
FAC0038946;PLT0047;26583;4;106332;15637
FAC0038947;PLT0007;20343;4;81372;11966
FAC0038948;PLT0029;16136;5;80680;9492
FAC0038949;PLT0042;28508;9;256572;16769
FAC0038950;PLT0006;24613;10;246130;14478
FAC0038951;PLT0026;9446;7;66122;5556
FAC0038952;PLT0023;29003;6;174018;17061
FAC0038953;PLT0015;22206;7;155442;13062
FAC0038954;PLT0013;16922;3;50766;9954
FAC0038955;PLT0003;25406;5;127030;14945
FAC0038956;PLT0039;6179;10;61790;3635
FAC0038957;PLT0036;27243;8;217944;16025
FAC0038958;PLT0024;6170;6;37020;3629
FAC0038959;PLT0032;10479;8;83832;6164
FAC0038960;PLT0036;27243;10;272430;16025
FAC0038961;PLT0038;27071;4;108284;15924
FAC0038962;PLT0011;25298;10;252980;14881
FAC0038963;PLT0009;22639;7;158473;13317
FAC0038964;PLT0021;21859;6;131154;12858
FAC0038965;PLT0004;19506;9;175554;11474
FAC0038966;PLT0009;22639;3;67917;13317
FAC0038967;PLT0002;16035;8;128280;9432
FAC0038968;PLT0027;22873;8;182984;13455
FAC0038969;PLT0014;5638;8;45104;3316
FAC0038970;PLT0006;24613;10;246130;14478
FAC0038971;PLT0001;10201;5;51005;6001
FAC0038972;PLT0030;21117;10;211170;12422
FAC0038973;PLT0022;28111;8;224888;16536
FAC0038974;PLT0045;34710;10;347100;20418
FAC0038975;PLT0006;24613;6;147678;14478
FAC0038976;PLT0003;25406;4;101624;14945
FAC0038977;PLT0044;10146;10;101460;5968
FAC0038978;PLT0008;27709;8;221672;16299
FAC0038979;PLT0028;8448;1;8448;4969
FAC0038980;PLT0038;27071;4;108284;15924
FAC0038981;PLT0008;27709;9;249381;16299
FAC0038982;PLT0029;16136;1;16136;9492
FAC0038983;PLT0020;32766;1;32766;19274
FAC0038984;PLT0030;21117;3;63351;12422
FAC0038985;PLT0040;24668;3;74004;14511
FAC0038986;PLT0034;11917;2;23834;7010
FAC0038987;PLT0039;6179;4;24716;3635
FAC0038988;PLT0043;14334;1;14334;8432
FAC0038989;PLT0030;21117;8;168936;12422
FAC0038990;PLT0011;25298;7;177086;14881
FAC0038991;PLT0012;9483;3;28449;5578
FAC0038992;PLT0032;10479;9;94311;6164
FAC0038993;PLT0009;22639;9;203751;13317
FAC0038994;PLT0043;14334;2;28668;8432
FAC0038995;PLT0020;32766;7;229362;19274
FAC0038996;PLT0019;21410;10;214100;12594
FAC0038997;PLT0035;13674;4;54696;8044
FAC0038998;PLT0001;10201;6;61206;6001
FAC0038999;PLT0024;6170;9;55530;3629
FAC0039000;PLT0020;32766;5;163830;19274
FAC0039001;PLT0016;17636;10;176360;10374
FAC0039002;PLT0043;14334;5;71670;8432
FAC0039003;PLT0035;13674;4;54696;8044
FAC0039004;PLT0016;17636;9;158724;10374
FAC0039005;PLT0019;21410;10;214100;12594
FAC0039006;PLT0004;19506;9;175554;11474
FAC0039007;PLT0008;27709;5;138545;16299
FAC0039008;PLT0014;5638;1;5638;3316
FAC0039009;PLT0033;21097;8;168776;12410
FAC0039010;PLT0015;22206;10;222060;13062
FAC0039011;PLT0041;18897;10;188970;11116
FAC0039012;PLT0032;10479;2;20958;6164
FAC0039013;PLT0039;6179;5;30895;3635
FAC0039014;PLT0033;21097;3;63291;12410
FAC0039015;PLT0039;6179;5;30895;3635
FAC0039016;PLT0019;21410;2;42820;12594
FAC0039017;PLT0040;24668;5;123340;14511
FAC0039018;PLT0010;7946;3;23838;4674
FAC0039019;PLT0025;25473;2;50946;14984
FAC0039020;PLT0033;21097;8;168776;12410
FAC0039021;PLT0004;19506;7;136542;11474
FAC0039022;PLT0024;6170;2;12340;3629
FAC0039023;PLT0021;21859;1;21859;12858
FAC0039024;PLT0018;21805;4;87220;12826
FAC0039025;PLT0014;5638;6;33828;3316
FAC0039026;PLT0034;11917;1;11917;7010
FAC0039027;PLT0002;16035;2;32070;9432
FAC0039028;PLT0046;34804;2;69608;20473
FAC0039029;PLT0007;20343;5;101715;11966
FAC0039030;PLT0045;34710;7;242970;20418
FAC0039031;PLT0001;10201;3;30603;6001
FAC0039032;PLT0001;10201;10;102010;6001
FAC0039033;PLT0029;16136;7;112952;9492
FAC0039034;PLT0017;33597;7;235179;19763
FAC0039035;PLT0038;27071;7;189497;15924
FAC0039036;PLT0047;26583;10;265830;15637
FAC0039037;PLT0028;8448;9;76032;4969
FAC0039038;PLT0018;21805;9;196245;12826
FAC0039039;PLT0042;28508;4;114032;16769
FAC0039040;PLT0038;27071;7;189497;15924
FAC0039041;PLT0039;6179;3;18537;3635
FAC0039042;PLT0040;24668;1;24668;14511
FAC0039043;PLT0002;16035;8;128280;9432
FAC0039044;PLT0033;21097;5;105485;12410
FAC0039045;PLT0015;22206;5;111030;13062
FAC0039046;PLT0026;9446;2;18892;5556
FAC0039047;PLT0043;14334;2;28668;8432
FAC0039048;PLT0011;25298;1;25298;14881
FAC0039049;PLT0010;7946;3;23838;4674
FAC0039050;PLT0042;28508;2;57016;16769
FAC0039051;PLT0012;9483;5;47415;5578
FAC0039052;PLT0037;20147;5;100735;11851
FAC0039053;PLT0016;17636;2;35272;10374
FAC0039054;PLT0023;29003;6;174018;17061
FAC0039055;PLT0034;11917;5;59585;7010
FAC0039056;PLT0027;22873;5;114365;13455
FAC0039057;PLT0038;27071;10;270710;15924
FAC0039058;PLT0010;7946;3;23838;4674
FAC0039059;PLT0032;10479;4;41916;6164
FAC0039060;PLT0009;22639;5;113195;13317
FAC0039061;PLT0008;27709;9;249381;16299
