DOCUMENTO;FECHA;ID_CLIENTE;TIPO_DOCUMENTO;ID_VENDEDOR;CANAL_ID;TOTAL_NETO;IMPUESTO;TOTAL_DOCUMENTO
FAC0030091;2015-10-20;CLI00975;FACTURA;9;2;63291;12025;75316
FAC0030092;2015-08-30;CLI00588;FACTURA;17;1;39730;7549;47279
FAC0030093;2015-02-24;CLI00283;FACTURA;3;2;91809;17444;109253
FAC0030094;2015-08-10;CLI00924;FACTURA;41;1;67688;12861;80549
FAC0030095;2015-12-04;CLI00656;FACTURA;22;1;33844;6430;40274
FAC0030096;2015-05-21;CLI00404;FACTURA;32;1;113195;21507;134702
FAC0030097;2015-05-24;CLI00201;FACTURA;35;2;67584;12841;80425
FAC0030098;2015-08-17;CLI00683;FACTURA;6;2;217944;41409;259353
FAC0030099;2015-12-12;CLI00719;FACTURA;26;2;25406;4827;30233
FAC0030100;2015-04-28;CLI00564;FACTURA;39;1;61029;11596;72625
FAC0030101;2015-09-14;CLI00575;FACTURA;38;2;246680;46869;293549
FAC0030102;2015-04-23;CLI00894;FACTURA;20;1;161176;30623;191799
FAC0030103;2015-08-29;CLI00360;FACTURA;11;1;226390;43014;269404
FAC0030104;2015-03-10;CLI00249;FACTURA;10;2;6170;1172;7342
FAC0030105;2015-11-17;CLI00799;FACTURA;22;2;60441;11484;71925
FAC0030106;2015-11-29;CLI00900;FACTURA;30;1;27243;5176;32419
FAC0030107;2015-07-19;CLI00611;FACTURA;40;2;80175;15233;95408
FAC0030108;2015-09-20;CLI00080;FACTURA;50;1;281110;53411;334521
FAC0030109;2015-11-23;CLI00470;FACTURA;2;1;55611;10566;66177
FAC0030110;2015-09-16;CLI00613;FACTURA;39;2;127030;24136;151166
FAC0030111;2015-10-02;CLI00908;FACTURA;3;1;27071;5143;32214
FAC0030112;2015-10-18;CLI00340;FACTURA;40;1;64140;12187;76327
FAC0030113;2015-09-04;CLI00479;FACTURA;40;2;277680;52759;330439
FAC0030114;2015-12-13;CLI00941;FACTURA;29;2;243628;46289;289917
FAC0030115;2015-05-13;CLI00615;FACTURA;40;2;107050;20340;127390
FAC0030116;2015-03-31;CLI00039;FACTURA;39;2;161360;30658;192018
FAC0030117;2015-06-10;CLI00945;FACTURA;45;2;73353;13937;87290
FAC0030118;2015-07-15;CLI00039;FACTURA;23;2;104790;19910;124700
FAC0030119;2015-05-16;CLI00308;FACTURA;22;1;170935;32478;203413
FAC0030120;2015-01-18;CLI00691;FACTURA;29;2;70544;13403;83947
FAC0030121;2015-05-11;CLI00690;FACTURA;36;1;53166;10102;63268
FAC0030122;2015-08-11;CLI00213;FACTURA;31;2;80175;15233;95408
FAC0030123;2015-07-16;CLI00864;FACTURA;47;1;205122;38973;244095
FAC0030124;2015-08-28;CLI00622;FACTURA;31;1;270710;51435;322145
FAC0030125;2015-06-19;CLI00963;FACTURA;22;2;214100;40679;254779
FAC0030126;2015-10-07;CLI00873;FACTURA;26;2;91492;17383;108875
FAC0030127;2015-09-24;CLI00544;FACTURA;41;1;136740;25981;162721
FAC0030128;2015-07-08;CLI00407;FACTURA;28;2;61206;11629;72835
FAC0030129;2015-03-23;CLI00569;FACTURA;3;2;105585;20061;125646
FAC0030130;2015-04-22;CLI00821;FACTURA;5;2;63351;12037;75388
FAC0030131;2015-01-31;CLI00634;FACTURA;35;1;76032;14446;90478
FAC0030132;2015-09-04;CLI00651;FACTURA;7;2;145015;27553;172568
FAC0030133;2015-05-21;CLI01000;FACTURA;23;1;278432;52902;331334
FAC0030134;2015-10-20;CLI00371;FACTURA;50;2;28190;5356;33546
FAC0030135;2015-02-19;CLI00154;FACTURA;12;1;42234;8024;50258
FAC0030136;2015-02-04;CLI00313;FACTURA;15;2;71670;13617;85287
FAC0030137;2015-08-12;CLI00553;FACTURA;20;2;84388;16034;100422
FAC0030138;2015-04-19;CLI00061;FACTURA;27;2;39466;7499;46965
FAC0030139;2015-04-09;CLI00730;FACTURA;37;1;40584;7711;48295
FAC0030140;2015-12-26;CLI00287;FACTURA;19;2;55622;10568;66190
FAC0030141;2015-01-14;CLI00514;FACTURA;11;1;168666;32047;200713
FAC0030142;2015-09-17;CLI00682;FACTURA;4;1;24680;4689;29369
FAC0030143;2015-10-07;CLI00560;FACTURA;27;1;26583;5051;31634
FAC0030144;2015-01-04;CLI00793;FACTURA;43;2;25344;4815;30159
FAC0030145;2015-01-23;CLI00380;FACTURA;45;1;35751;6793;42544
FAC0030146;2015-08-22;CLI00497;FACTURA;6;2;277090;52647;329737
FAC0030147;2015-11-12;CLI00050;FACTURA;33;1;114672;21788;136460
FAC0030148;2015-10-22;CLI00390;FACTURA;34;1;114032;21666;135698
FAC0030149;2015-09-27;CLI00424;FACTURA;30;1;50946;9680;60626
FAC0030150;2015-01-26;CLI00246;FACTURA;43;1;139216;26451;165667
FAC0030151;2015-06-13;CLI00901;FACTURA;17;2;91809;17444;109253
FAC0030152;2015-01-07;CLI00324;FACTURA;5;1;25344;4815;30159
FAC0030153;2015-03-31;CLI00827;FACTURA;1;2;189873;36076;225949
FAC0030154;2015-10-11;CLI00468;FACTURA;22;1;27709;5265;32974
FAC0030155;2015-12-11;CLI00789;FACTURA;34;2;70544;13403;83947
FAC0030156;2015-01-27;CLI00187;FACTURA;12;2;71502;13585;85087
FAC0030157;2015-09-11;CLI00527;FACTURA;47;2;53166;10102;63268
FAC0030158;2015-12-04;CLI00254;FACTURA;46;1;197344;37495;234839
FAC0030159;2015-07-25;CLI00776;FACTURA;23;1;30895;5870;36765
FAC0030160;2015-09-22;CLI00098;FACTURA;35;1;152838;29039;181877
FAC0030161;2015-10-30;CLI00546;FACTURA;28;1;203248;38617;241865
FAC0030162;2015-06-13;CLI00206;FACTURA;32;1;12340;2345;14685
FAC0030163;2015-08-25;CLI00383;FACTURA;40;2;131064;24902;155966
FAC0030164;2015-03-31;CLI00535;FACTURA;17;2;94485;17952;112437
FAC0030165;2015-09-03;CLI00258;FACTURA;43;1;11454;2176;13630
FAC0030166;2015-11-06;CLI00115;FACTURA;15;2;256572;48749;305321
FAC0030167;2015-11-23;CLI00546;FACTURA;48;1;252980;48066;301046
FAC0030168;2015-07-10;CLI00311;FACTURA;28;2;97530;18531;116061
FAC0030169;2015-11-04;CLI00843;FACTURA;13;2;16922;3215;20137
FAC0030170;2015-06-08;CLI00922;FACTURA;18;1;28508;5417;33925
FAC0030171;2015-04-24;CLI00087;FACTURA;6;2;142401;27056;169457
FAC0030172;2015-06-24;CLI00285;FACTURA;3;2;22639;4301;26940
FAC0030173;2015-08-13;CLI00088;FACTURA;23;1;243628;46289;289917
FAC0030174;2015-09-01;CLI00091;FACTURA;25;2;16035;3047;19082
FAC0030175;2015-04-02;CLI00892;FACTURA;1;1;79749;15152;94901
FAC0030176;2015-12-12;CLI00425;FACTURA;41;2;347100;65949;413049
FAC0030177;2015-09-26;CLI00470;FACTURA;37;1;141029;26796;167825
FAC0030178;2015-10-09;CLI00019;FACTURA;9;2;57270;10881;68151
FAC0030179;2015-12-17;CLI00160;FACTURA;30;1;102010;19382;121392
FAC0030180;2015-06-05;CLI00245;FACTURA;33;2;32272;6132;38404
FAC0030181;2015-03-13;CLI00403;FACTURA;32;2;114672;21788;136460
FAC0030182;2015-01-03;CLI00624;FACTURA;20;1;171280;32543;203823
FAC0030183;2015-11-10;CLI00988;FACTURA;20;1;63291;12025;75316
FAC0030184;2015-05-16;CLI00480;FACTURA;19;1;43718;8306;52024
FAC0030185;2015-11-19;CLI00936;FACTURA;3;1;84610;16076;100686
FAC0030186;2015-05-16;CLI00095;FACTURA;29;2;227682;43260;270942
FAC0030187;2015-07-22;CLI00233;FACTURA;12;2;52908;10053;62961
FAC0030188;2015-06-18;CLI00852;FACTURA;6;1;31437;5973;37410
FAC0030189;2015-01-11;CLI00050;FACTURA;48;1;28668;5447;34115
FAC0030190;2015-12-14;CLI00998;FACTURA;3;1;112245;21327;133572
FAC0030191;2015-02-15;CLI00054;FACTURA;39;1;265830;50508;316338
FAC0030192;2015-03-27;CLI00458;FACTURA;25;1;87436;16613;104049
FAC0030193;2015-10-04;CLI00255;FACTURA;50;2;88824;16877;105701
FAC0030194;2015-10-22;CLI00562;FACTURA;40;1;56898;10811;67709
FAC0030195;2015-10-26;CLI00330;FACTURA;43;1;84388;16034;100422
FAC0030196;2015-08-19;CLI00021;FACTURA;39;2;199556;37916;237472
FAC0030197;2015-08-07;CLI00107;FACTURA;16;2;79749;15152;94901
FAC0030198;2015-08-16;CLI00071;FACTURA;41;2;199556;37916;237472
FAC0030199;2015-10-10;CLI00105;FACTURA;45;2;57336;10894;68230
FAC0030200;2015-09-06;CLI00334;FACTURA;27;1;208824;39677;248501
FAC0030201;2015-08-15;CLI00395;FACTURA;7;2;212664;40406;253070
FAC0030202;2015-01-23;CLI00084;FACTURA;36;1;40294;7656;47950
FAC0030203;2015-08-05;CLI00982;FACTURA;24;1;61700;11723;73423
FAC0030204;2015-02-15;CLI00641;FACTURA;8;2;22552;4285;26837
FAC0030205;2015-09-19;CLI00698;FACTURA;12;1;174020;33064;207084
FAC0030206;2015-04-28;CLI00791;FACTURA;5;2;91492;17383;108875
FAC0030207;2015-06-08;CLI00324;FACTURA;28;1;111030;21096;132126
FAC0030208;2015-03-30;CLI00660;FACTURA;19;1;37784;7179;44963
FAC0030209;2015-10-05;CLI00707;FACTURA;5;2;84610;16076;100686
FAC0030210;2015-04-11;CLI00017;FACTURA;34;2;76032;14446;90478
FAC0030211;2015-01-26;CLI00255;FACTURA;2;2;128460;24407;152867
FAC0030212;2015-11-22;CLI00319;FACTURA;4;2;120882;22968;143850
FAC0030213;2015-05-04;CLI00643;FACTURA;3;2;270710;51435;322145
FAC0030214;2015-11-07;CLI00402;FACTURA;36;1;56898;10811;67709
FAC0030215;2015-09-02;CLI00942;FACTURA;40;1;189873;36076;225949
FAC0030216;2015-03-08;CLI00036;FACTURA;29;1;172291;32735;205026
FAC0030217;2015-06-13;CLI00704;FACTURA;2;1;75894;14420;90314
FAC0030218;2015-10-03;CLI00066;FACTURA;24;1;42194;8017;50211
FAC0030219;2015-03-27;CLI00128;FACTURA;28;1;57270;10881;68151
FAC0030220;2015-06-15;CLI00910;FACTURA;33;1;96816;18395;115211
FAC0030221;2015-11-27;CLI00288;FACTURA;45;1;94485;17952;112437
FAC0030222;2015-02-02;CLI00551;FACTURA;5;2;101192;19226;120418
FAC0030223;2015-11-04;CLI00766;FACTURA;40;1;151788;28840;180628
FAC0030224;2015-04-19;CLI00842;FACTURA;46;1;94460;17947;112407
FAC0030225;2015-01-02;CLI00280;FACTURA;22;1;14334;2723;17057
FAC0030226;2015-04-29;CLI00032;FACTURA;18;1;66381;12612;78993
FAC0030227;2015-10-29;CLI00157;FACTURA;19;2;327660;62255;389915
FAC0030228;2015-08-22;CLI00013;FACTURA;29;2;37794;7181;44975
FAC0030229;2015-05-08;CLI00290;FACTURA;3;1;74004;14061;88065
FAC0030230;2015-08-03;CLI00808;FACTURA;47;1;78024;14825;92849
FAC0030231;2015-09-13;CLI00594;FACTURA;32;1;44412;8438;52850
FAC0030232;2015-12-23;CLI00243;FACTURA;50;2;22908;4353;27261
FAC0030233;2015-03-29;CLI00517;FACTURA;17;2;108284;20574;128858
FAC0030234;2015-03-24;CLI00592;FACTURA;33;1;161176;30623;191799
FAC0030235;2015-07-05;CLI00524;FACTURA;40;1;190053;36110;226163
FAC0030236;2015-12-21;CLI00487;FACTURA;41;2;43190;8206;51396
FAC0030237;2015-01-10;CLI00884;FACTURA;10;1;174020;33064;207084
FAC0030238;2015-04-14;CLI00928;FACTURA;26;1;65415;12429;77844
FAC0030239;2015-10-02;CLI00045;FACTURA;25;2;133236;25315;158551
FAC0030240;2015-04-15;CLI00564;FACTURA;4;1;216568;41148;257716
FAC0030241;2015-07-08;CLI00748;FACTURA;33;1;64230;12204;76434
FAC0030242;2015-10-17;CLI00583;FACTURA;47;2;144315;27420;171735
FAC0030243;2015-12-01;CLI00356;FACTURA;25;1;186081;35355;221436
FAC0030244;2015-03-17;CLI00837;FACTURA;36;2;68619;13038;81657
FAC0030245;2015-01-15;CLI00781;FACTURA;12;2;136740;25981;162721
FAC0030246;2015-03-12;CLI00819;FACTURA;17;2;68724;13058;81782
FAC0030247;2015-05-20;CLI00477;FACTURA;15;2;80178;15234;95412
FAC0030248;2015-08-02;CLI00207;FACTURA;11;2;75894;14420;90314
FAC0030249;2015-09-25;CLI00149;FACTURA;50;2;68619;13038;81657
FAC0030250;2015-04-28;CLI00738;FACTURA;29;1;57336;10894;68230
FAC0030251;2015-04-12;CLI00221;FACTURA;15;2;222012;42182;264194
FAC0030252;2015-10-21;CLI00193;FACTURA;18;2;27709;5265;32974
FAC0030253;2015-05-30;CLI00525;FACTURA;33;2;13674;2598;16272
FAC0030254;2015-03-30;CLI00393;FACTURA;44;2;277680;52759;330439
FAC0030255;2015-09-19;CLI00559;FACTURA;47;2;48408;9198;57606
FAC0030256;2015-04-23;CLI00366;FACTURA;14;1;108284;20574;128858
FAC0030257;2015-01-29;CLI00689;FACTURA;5;2;40686;7730;48416
FAC0030258;2015-04-10;CLI00551;FACTURA;4;2;239309;45469;284778
FAC0030259;2015-11-04;CLI00206;FACTURA;10;1;25344;4815;30159
FAC0030260;2015-03-24;CLI00652;FACTURA;7;1;176360;33508;209868
FAC0030261;2015-09-29;CLI00483;FACTURA;32;2;136748;25982;162730
FAC0030262;2015-01-25;CLI00893;FACTURA;3;2;341870;64955;406825
FAC0030263;2015-06-01;CLI00781;FACTURA;28;2;39730;7549;47279
FAC0030264;2015-11-26;CLI00715;FACTURA;32;2;83419;15850;99269
FAC0030265;2015-01-16;CLI00545;FACTURA;15;2;75864;14414;90278
FAC0030266;2015-05-06;CLI01000;FACTURA;13;1;48105;9140;57245
FAC0030267;2015-11-27;CLI00855;FACTURA;6;2;168776;32067;200843
FAC0030268;2015-01-03;CLI00827;FACTURA;28;2;66122;12563;78685
FAC0030269;2015-08-12;CLI00817;FACTURA;33;2;80178;15234;95412
FAC0030270;2015-11-13;CLI00375;FACTURA;47;2;218050;41430;259480
FAC0030271;2015-07-20;CLI00866;FACTURA;39;1;74004;14061;88065
FAC0030272;2015-11-14;CLI00047;FACTURA;47;2;97530;18531;116061
FAC0030273;2015-01-20;CLI00594;FACTURA;38;1;15892;3019;18911
FAC0030274;2015-12-24;CLI00045;FACTURA;50;2;122058;23191;145249
FAC0030275;2015-09-24;CLI00464;FACTURA;2;1;214100;40679;254779
FAC0030276;2015-10-01;CLI00691;FACTURA;4;2;168666;32047;200713
FAC0030277;2015-07-24;CLI00662;FACTURA;30;1;222060;42191;264251
FAC0030278;2015-10-06;CLI00618;FACTURA;2;1;199854;37972;237826
FAC0030279;2015-10-31;CLI00900;FACTURA;14;1;245187;46586;291773
FAC0030280;2015-10-03;CLI00753;FACTURA;7;2;205122;38973;244095
FAC0030281;2015-09-03;CLI00310;FACTURA;41;1;87436;16613;104049
FAC0030282;2015-05-09;CLI00067;FACTURA;47;2;84333;16023;100356
FAC0030283;2015-07-14;CLI00834;FACTURA;17;1;34362;6529;40891
FAC0030284;2015-01-18;CLI00815;FACTURA;45;2;22873;4346;27219
FAC0030285;2015-05-22;CLI00493;FACTURA;45;2;105585;20061;125646
FAC0030286;2015-03-09;CLI00676;FACTURA;1;1;75864;14414;90278
FAC0030287;2015-05-09;CLI00168;FACTURA;6;1;50730;9639;60369
FAC0030288;2015-07-16;CLI00194;FACTURA;21;1;55418;10529;65947
FAC0030289;2015-09-23;CLI00678;FACTURA;26;1;10201;1938;12139
FAC0030290;2015-06-03;CLI00271;FACTURA;38;2;33828;6427;40255
FAC0030291;2015-05-14;CLI00277;FACTURA;33;2;162744;30921;193665
FAC0030292;2015-12-18;CLI00283;FACTURA;29;2;197344;37495;234839
FAC0030293;2015-09-20;CLI00734;FACTURA;48;1;9483;1802;11285
FAC0030294;2015-05-28;CLI00070;FACTURA;28;1;63568;12078;75646
FAC0030295;2015-07-03;CLI00907;FACTURA;21;2;43190;8206;51396
FAC0030296;2015-05-24;CLI00798;FACTURA;19;1;75588;14362;89950
FAC0030297;2015-05-12;CLI00157;FACTURA;25;2;137238;26075;163313
FAC0030298;2015-04-14;CLI00049;FACTURA;49;2;98452;18706;117158
FAC0030299;2015-03-18;CLI00547;FACTURA;3;2;159498;30305;189803
FAC0030300;2015-08-28;CLI00772;FACTURA;48;1;63291;12025;75316
FAC0030301;2015-10-05;CLI00093;FACTURA;44;2;239309;45469;284778
FAC0030302;2015-03-18;CLI00553;FACTURA;50;2;24716;4696;29412
FAC0030303;2015-10-03;CLI00509;FACTURA;25;2;199556;37916;237472
FAC0030304;2015-10-14;CLI00101;FACTURA;22;2;170073;32314;202387
FAC0030305;2015-02-22;CLI00536;FACTURA;41;1;86004;16341;102345
FAC0030306;2015-12-12;CLI00342;FACTURA;3;1;43253;8218;51471
FAC0030307;2015-01-16;CLI00982;FACTURA;45;1;63351;12037;75388
FAC0030308;2015-02-27;CLI00732;FACTURA;20;1;66122;12563;78685
FAC0030309;2015-10-20;CLI00288;FACTURA;46;1;33792;6420;40212
FAC0030310;2015-03-14;CLI00898;FACTURA;37;1;145224;27593;172817
FAC0030311;2015-12-24;CLI00857;FACTURA;34;2;98452;18706;117158
FAC0030312;2015-05-27;CLI00451;FACTURA;24;2;136542;25943;162485
FAC0030313;2015-10-21;CLI00672;FACTURA;10;1;63351;12037;75388
FAC0030314;2015-08-09;CLI00848;FACTURA;29;1;50742;9641;60383
FAC0030315;2015-06-13;CLI00761;FACTURA;15;2;20292;3855;24147
FAC0030316;2015-10-11;CLI00207;FACTURA;32;2;312390;59354;371744
FAC0030317;2015-12-29;CLI00512;FACTURA;47;1;34187;6496;40683
FAC0030318;2015-04-30;CLI00139;FACTURA;13;2;101532;19291;120823
FAC0030319;2015-09-21;CLI00362;FACTURA;45;1;196596;37353;233949
FAC0030320;2015-04-08;CLI00411;FACTURA;28;2;71514;13588;85102
FAC0030321;2015-05-09;CLI00087;FACTURA;34;2;24613;4676;29289
FAC0030322;2015-07-30;CLI00503;FACTURA;6;2;235179;44684;279863
FAC0030323;2015-01-19;CLI00321;FACTURA;23;2;68619;13038;81657
FAC0030324;2015-10-07;CLI00589;FACTURA;39;2;127365;24199;151564
FAC0030325;2015-12-24;CLI00610;FACTURA;23;1;28190;5356;33546
FAC0030326;2015-12-16;CLI00939;FACTURA;32;2;84388;16034;100422
FAC0030327;2015-02-17;CLI00120;FACTURA;28;1;43610;8286;51896
FAC0030328;2015-01-29;CLI00269;FACTURA;22;2;28668;5447;34115
FAC0030329;2015-11-04;CLI00597;FACTURA;43;2;151788;28840;180628
FAC0030330;2015-12-31;CLI00797;FACTURA;24;2;161360;30658;192018
FAC0030331;2015-12-23;CLI00099;FACTURA;46;2;42240;8026;50266
FAC0030332;2015-11-26;CLI00676;FACTURA;3;1;10201;1938;12139
FAC0030333;2015-01-13;CLI00114;FACTURA;50;1;96210;18280;114490
FAC0030334;2015-04-02;CLI00908;FACTURA;30;1;52908;10053;62961
FAC0030335;2015-04-02;CLI00609;FACTURA;6;2;75864;14414;90278
FAC0030336;2015-02-08;CLI00889;FACTURA;2;2;58518;11118;69636
FAC0030337;2015-05-25;CLI00507;FACTURA;32;2;114365;21729;136094
FAC0030338;2015-01-26;CLI00499;FACTURA;36;2;69420;13190;82610
FAC0030339;2015-12-05;CLI00356;FACTURA;8;1;254730;48399;303129
FAC0030340;2015-11-28;CLI00863;FACTURA;45;2;84480;16051;100531
FAC0030341;2015-05-18;CLI00089;FACTURA;22;2;22639;4301;26940
FAC0030342;2015-02-11;CLI00196;FACTURA;18;1;61790;11740;73530
FAC0030343;2015-01-11;CLI00490;FACTURA;47;1;246130;46765;292895
FAC0030344;2015-05-07;CLI00227;FACTURA;32;2;31437;5973;37410
FAC0030345;2015-09-09;CLI00631;FACTURA;23;2;63291;12025;75316
FAC0030346;2015-06-04;CLI00055;FACTURA;3;2;100791;19150;119941
FAC0030347;2015-11-22;CLI00707;FACTURA;20;2;81213;15430;96643
FAC0030348;2015-07-14;CLI00575;FACTURA;32;2;189497;36004;225501
FAC0030349;2015-01-24;CLI00172;FACTURA;16;1;203751;38713;242464
FAC0030350;2015-10-30;CLI00051;FACTURA;33;2;18892;3589;22481
FAC0030351;2015-05-19;CLI00125;FACTURA;49;2;168776;32067;200843
FAC0030352;2015-07-29;CLI00344;FACTURA;15;1;133236;25315;158551
FAC0030353;2015-02-02;CLI00676;FACTURA;42;1;171048;32499;203547
